,Volumen,Nombre,Hora,Fecha,Stocks
0,                      167.223                  ,                      ACCIONA                  ,                                                17:38                                        ,2018-11-09,"                      80,9200                  "
1,                      2.648.010                  ,                      ACERINOX                  ,                                                17:38                                        ,2018-11-09,"                      9,3640                  "
2,                      592.455                  ,                      ACS                  ,                                                17:38                                        ,2018-11-09,"                      34,7400                  "
3,                      98.386                  ,                      AENA                  ,                                                17:38                                        ,2018-11-09,"                      139,4000                  "
4,                      701.782                  ,                      AMADEUS                  ,                                                17:38                                        ,2018-11-09,"                      69,8600                  "
5,                      356.366                  ,                      ARCELORMITT.                  ,                                                17:38                                        ,2018-11-09,"                      22,2500                  "
6,                      14.541.919                  ,                      B.SABADELL                  ,                                                17:38                                        ,2018-11-09,"                      1,1860                  "
7,                      5.130.299                  ,                      BANKIA                  ,                                                17:38                                        ,2018-11-09,"                      2,9040                  "
8,                      1.202.725                  ,                      BANKINTER                  ,                                                17:38                                        ,2018-11-09,"                      7,5480                  "
9,                      66.481.144                  ,                      BBVA                  ,                                                17:38                                        ,2018-11-09,"                      4,9115                  "
10,                      12.743.333                  ,                      CAIXABANK                  ,                                                17:38                                        ,2018-11-09,"                      3,6700                  "
11,                      452.702                  ,                      CELLNEX                  ,                                                17:38                                        ,2018-11-09,"                      22,0200                  "
12,                      264.824                  ,                      CIE AUTOMOT.                  ,                                                17:38                                        ,2018-11-09,"                      23,1000                  "
13,                      10.491.283                  ,                      DIA                  ,                                                17:38                                        ,2018-11-09,"                      0,7176                  "
14,                      884.774                  ,                      ENAGAS                  ,                                                17:38                                        ,2018-11-09,"                      24,6000                  "
15,                      1.329.876                  ,                      ENDESA                  ,                                                17:38                                        ,2018-11-09,"                      19,8500                  "
16,                      996.773                  ,                      FERROVIAL                  ,                                                17:38                                        ,2018-11-09,"                      17,7950                  "
17,                      696.906                  ,                      GRIFOLS                  ,                                                17:38                                        ,2018-11-09,"                      26,1000                  "
18,                      1.376.457                  ,                      IAG                  ,                                                17:38                                        ,2018-11-09,"                      7,3800                  "
19,                      11.799.305                  ,                      IBERDROLA                  ,                                                17:38                                        ,2018-11-09,"                      6,5700                  "
20,                      2.429.298                  ,                      INDITEX                  ,                                                17:38                                        ,2018-11-09,"                      26,4200                  "
21,                      1.857.205                  ,                      INDRA A                  ,                                                17:38                                        ,2018-11-09,"                      8,5700                  "
22,                      463.327                  ,                      INM.COLONIAL                  ,                                                17:38                                        ,2018-11-09,"                      8,9100                  "
23,                      5.133.270                  ,                      MAPFRE                  ,                                                17:38                                        ,2018-11-09,"                      2,5480                  "
24,                      1.594.357                  ,                      MEDIASET                  ,                                                17:38                                        ,2018-11-09,"                      5,9420                  "
25,                      1.025.186                  ,                      MELIA HOTELS                  ,                                                17:38                                        ,2018-11-09,"                      8,3150                  "
26,                      670.066                  ,                      MERLIN PROP.                  ,                                                17:38                                        ,2018-11-09,"                      11,4150                  "
27,                      981.710                  ,                      NATURGY                  ,                                                17:38                                        ,2018-11-09,"                      23,1600                  "
28,                      1.153.813                  ,                      R.E.C.                  ,                                                17:38                                        ,2018-11-09,"                      19,2800                  "
29,                      4.617.009                  ,                      REPSOL                  ,                                                17:38                                        ,2018-11-09,"                      15,8500                  "
30,                      34.958.233                  ,                      SANTANDER                  ,                                                17:38                                        ,2018-11-09,"                      4,2390                  "
31,                      2.101.874                  ,                      SIEMENS GAM                  ,                                                17:38                                        ,2018-11-09,"                      12,2400                  "
32,                      201.435                  ,                      TECNICAS REU                  ,                                                17:38                                        ,2018-11-09,"                      22,4800                  "
33,                      13.045.880                  ,                      TELEFONICA                  ,                                                17:38                                        ,2018-11-09,"                      7,4690                  "
34,                      84.760                  ,                      VISCOFAN                  ,                                                17:38                                        ,2018-11-09,"                      52,4500                  "
35,                      167.223                  ,                      ACCIONA                  ,                                                17:38                                        ,2018-11-09,"                      80,9200                  "
36,                      2.648.010                  ,                      ACERINOX                  ,                                                17:38                                        ,2018-11-09,"                      9,3640                  "
37,                      592.455                  ,                      ACS                  ,                                                17:38                                        ,2018-11-09,"                      34,7400                  "
38,                      98.386                  ,                      AENA                  ,                                                17:38                                        ,2018-11-09,"                      139,4000                  "
39,                      701.782                  ,                      AMADEUS                  ,                                                17:38                                        ,2018-11-09,"                      69,8600                  "
40,                      356.366                  ,                      ARCELORMITT.                  ,                                                17:38                                        ,2018-11-09,"                      22,2500                  "
41,                      14.541.919                  ,                      B.SABADELL                  ,                                                17:38                                        ,2018-11-09,"                      1,1860                  "
42,                      5.130.299                  ,                      BANKIA                  ,                                                17:38                                        ,2018-11-09,"                      2,9040                  "
43,                      1.202.725                  ,                      BANKINTER                  ,                                                17:38                                        ,2018-11-09,"                      7,5480                  "
44,                      66.481.144                  ,                      BBVA                  ,                                                17:38                                        ,2018-11-09,"                      4,9115                  "
45,                      12.743.333                  ,                      CAIXABANK                  ,                                                17:38                                        ,2018-11-09,"                      3,6700                  "
46,                      452.702                  ,                      CELLNEX                  ,                                                17:38                                        ,2018-11-09,"                      22,0200                  "
47,                      264.824                  ,                      CIE AUTOMOT.                  ,                                                17:38                                        ,2018-11-09,"                      23,1000                  "
48,                      10.491.283                  ,                      DIA                  ,                                                17:38                                        ,2018-11-09,"                      0,7176                  "
49,                      884.774                  ,                      ENAGAS                  ,                                                17:38                                        ,2018-11-09,"                      24,6000                  "
50,                      1.329.876                  ,                      ENDESA                  ,                                                17:38                                        ,2018-11-09,"                      19,8500                  "
51,                      996.773                  ,                      FERROVIAL                  ,                                                17:38                                        ,2018-11-09,"                      17,7950                  "
52,                      696.906                  ,                      GRIFOLS                  ,                                                17:38                                        ,2018-11-09,"                      26,1000                  "
53,                      1.376.457                  ,                      IAG                  ,                                                17:38                                        ,2018-11-09,"                      7,3800                  "
54,                      11.799.305                  ,                      IBERDROLA                  ,                                                17:38                                        ,2018-11-09,"                      6,5700                  "
55,                      2.429.298                  ,                      INDITEX                  ,                                                17:38                                        ,2018-11-09,"                      26,4200                  "
56,                      1.857.205                  ,                      INDRA A                  ,                                                17:38                                        ,2018-11-09,"                      8,5700                  "
57,                      463.327                  ,                      INM.COLONIAL                  ,                                                17:38                                        ,2018-11-09,"                      8,9100                  "
58,                      5.133.270                  ,                      MAPFRE                  ,                                                17:38                                        ,2018-11-09,"                      2,5480                  "
59,                      1.594.357                  ,                      MEDIASET                  ,                                                17:38                                        ,2018-11-09,"                      5,9420                  "
60,                      1.025.186                  ,                      MELIA HOTELS                  ,                                                17:38                                        ,2018-11-09,"                      8,3150                  "
61,                      670.066                  ,                      MERLIN PROP.                  ,                                                17:38                                        ,2018-11-09,"                      11,4150                  "
62,                      981.710                  ,                      NATURGY                  ,                                                17:38                                        ,2018-11-09,"                      23,1600                  "
63,                      1.153.813                  ,                      R.E.C.                  ,                                                17:38                                        ,2018-11-09,"                      19,2800                  "
64,                      4.617.009                  ,                      REPSOL                  ,                                                17:38                                        ,2018-11-09,"                      15,8500                  "
65,                      34.958.233                  ,                      SANTANDER                  ,                                                17:38                                        ,2018-11-09,"                      4,2390                  "
66,                      2.101.874                  ,                      SIEMENS GAM                  ,                                                17:38                                        ,2018-11-09,"                      12,2400                  "
67,                      201.435                  ,                      TECNICAS REU                  ,                                                17:38                                        ,2018-11-09,"                      22,4800                  "
68,                      13.045.880                  ,                      TELEFONICA                  ,                                                17:38                                        ,2018-11-09,"                      7,4690                  "
69,                      84.760                  ,                      VISCOFAN                  ,                                                17:38                                        ,2018-11-09,"                      52,4500                  "
70,                      167.223                  ,                      ACCIONA                  ,                                                17:38                                        ,2018-11-09,"                      80,9200                  "
71,                      2.648.010                  ,                      ACERINOX                  ,                                                17:38                                        ,2018-11-09,"                      9,3640                  "
72,                      592.455                  ,                      ACS                  ,                                                17:38                                        ,2018-11-09,"                      34,7400                  "
73,                      98.386                  ,                      AENA                  ,                                                17:38                                        ,2018-11-09,"                      139,4000                  "
74,                      701.782                  ,                      AMADEUS                  ,                                                17:38                                        ,2018-11-09,"                      69,8600                  "
75,                      356.366                  ,                      ARCELORMITT.                  ,                                                17:38                                        ,2018-11-09,"                      22,2500                  "
76,                      14.541.919                  ,                      B.SABADELL                  ,                                                17:38                                        ,2018-11-09,"                      1,1860                  "
77,                      5.130.299                  ,                      BANKIA                  ,                                                17:38                                        ,2018-11-09,"                      2,9040                  "
78,                      1.202.725                  ,                      BANKINTER                  ,                                                17:38                                        ,2018-11-09,"                      7,5480                  "
79,                      66.481.144                  ,                      BBVA                  ,                                                17:38                                        ,2018-11-09,"                      4,9115                  "
80,                      12.743.333                  ,                      CAIXABANK                  ,                                                17:38                                        ,2018-11-09,"                      3,6700                  "
81,                      452.702                  ,                      CELLNEX                  ,                                                17:38                                        ,2018-11-09,"                      22,0200                  "
82,                      264.824                  ,                      CIE AUTOMOT.                  ,                                                17:38                                        ,2018-11-09,"                      23,1000                  "
83,                      10.491.283                  ,                      DIA                  ,                                                17:38                                        ,2018-11-09,"                      0,7176                  "
84,                      884.774                  ,                      ENAGAS                  ,                                                17:38                                        ,2018-11-09,"                      24,6000                  "
85,                      1.329.876                  ,                      ENDESA                  ,                                                17:38                                        ,2018-11-09,"                      19,8500                  "
86,                      996.773                  ,                      FERROVIAL                  ,                                                17:38                                        ,2018-11-09,"                      17,7950                  "
87,                      696.906                  ,                      GRIFOLS                  ,                                                17:38                                        ,2018-11-09,"                      26,1000                  "
88,                      1.376.457                  ,                      IAG                  ,                                                17:38                                        ,2018-11-09,"                      7,3800                  "
89,                      11.799.305                  ,                      IBERDROLA                  ,                                                17:38                                        ,2018-11-09,"                      6,5700                  "
90,                      2.429.298                  ,                      INDITEX                  ,                                                17:38                                        ,2018-11-09,"                      26,4200                  "
91,                      1.857.205                  ,                      INDRA A                  ,                                                17:38                                        ,2018-11-09,"                      8,5700                  "
92,                      463.327                  ,                      INM.COLONIAL                  ,                                                17:38                                        ,2018-11-09,"                      8,9100                  "
93,                      5.133.270                  ,                      MAPFRE                  ,                                                17:38                                        ,2018-11-09,"                      2,5480                  "
94,                      1.594.357                  ,                      MEDIASET                  ,                                                17:38                                        ,2018-11-09,"                      5,9420                  "
95,                      1.025.186                  ,                      MELIA HOTELS                  ,                                                17:38                                        ,2018-11-09,"                      8,3150                  "
96,                      670.066                  ,                      MERLIN PROP.                  ,                                                17:38                                        ,2018-11-09,"                      11,4150                  "
97,                      981.710                  ,                      NATURGY                  ,                                                17:38                                        ,2018-11-09,"                      23,1600                  "
98,                      1.153.813                  ,                      R.E.C.                  ,                                                17:38                                        ,2018-11-09,"                      19,2800                  "
99,                      4.617.009                  ,                      REPSOL                  ,                                                17:38                                        ,2018-11-09,"                      15,8500                  "
100,                      34.958.233                  ,                      SANTANDER                  ,                                                17:38                                        ,2018-11-09,"                      4,2390                  "
101,                      2.101.874                  ,                      SIEMENS GAM                  ,                                                17:38                                        ,2018-11-09,"                      12,2400                  "
102,                      201.435                  ,                      TECNICAS REU                  ,                                                17:38                                        ,2018-11-09,"                      22,4800                  "
103,                      13.045.880                  ,                      TELEFONICA                  ,                                                17:38                                        ,2018-11-09,"                      7,4690                  "
104,                      84.760                  ,                      VISCOFAN                  ,                                                17:38                                        ,2018-11-09,"                      52,4500                  "
105,                      167.223                  ,                      ACCIONA                  ,                                                17:38                                        ,2018-11-09,"                      80,9200                  "
106,                      2.648.010                  ,                      ACERINOX                  ,                                                17:38                                        ,2018-11-09,"                      9,3640                  "
107,                      592.455                  ,                      ACS                  ,                                                17:38                                        ,2018-11-09,"                      34,7400                  "
108,                      98.386                  ,                      AENA                  ,                                                17:38                                        ,2018-11-09,"                      139,4000                  "
109,                      701.782                  ,                      AMADEUS                  ,                                                17:38                                        ,2018-11-09,"                      69,8600                  "
110,                      356.366                  ,                      ARCELORMITT.                  ,                                                17:38                                        ,2018-11-09,"                      22,2500                  "
111,                      14.541.919                  ,                      B.SABADELL                  ,                                                17:38                                        ,2018-11-09,"                      1,1860                  "
112,                      5.130.299                  ,                      BANKIA                  ,                                                17:38                                        ,2018-11-09,"                      2,9040                  "
113,                      1.202.725                  ,                      BANKINTER                  ,                                                17:38                                        ,2018-11-09,"                      7,5480                  "
114,                      66.481.144                  ,                      BBVA                  ,                                                17:38                                        ,2018-11-09,"                      4,9115                  "
115,                      12.743.333                  ,                      CAIXABANK                  ,                                                17:38                                        ,2018-11-09,"                      3,6700                  "
116,                      452.702                  ,                      CELLNEX                  ,                                                17:38                                        ,2018-11-09,"                      22,0200                  "
117,                      264.824                  ,                      CIE AUTOMOT.                  ,                                                17:38                                        ,2018-11-09,"                      23,1000                  "
118,                      10.491.283                  ,                      DIA                  ,                                                17:38                                        ,2018-11-09,"                      0,7176                  "
119,                      884.774                  ,                      ENAGAS                  ,                                                17:38                                        ,2018-11-09,"                      24,6000                  "
120,                      1.329.876                  ,                      ENDESA                  ,                                                17:38                                        ,2018-11-09,"                      19,8500                  "
121,                      996.773                  ,                      FERROVIAL                  ,                                                17:38                                        ,2018-11-09,"                      17,7950                  "
122,                      696.906                  ,                      GRIFOLS                  ,                                                17:38                                        ,2018-11-09,"                      26,1000                  "
123,                      1.376.457                  ,                      IAG                  ,                                                17:38                                        ,2018-11-09,"                      7,3800                  "
124,                      11.799.305                  ,                      IBERDROLA                  ,                                                17:38                                        ,2018-11-09,"                      6,5700                  "
125,                      2.429.298                  ,                      INDITEX                  ,                                                17:38                                        ,2018-11-09,"                      26,4200                  "
126,                      1.857.205                  ,                      INDRA A                  ,                                                17:38                                        ,2018-11-09,"                      8,5700                  "
127,                      463.327                  ,                      INM.COLONIAL                  ,                                                17:38                                        ,2018-11-09,"                      8,9100                  "
128,                      5.133.270                  ,                      MAPFRE                  ,                                                17:38                                        ,2018-11-09,"                      2,5480                  "
129,                      1.594.357                  ,                      MEDIASET                  ,                                                17:38                                        ,2018-11-09,"                      5,9420                  "
130,                      1.025.186                  ,                      MELIA HOTELS                  ,                                                17:38                                        ,2018-11-09,"                      8,3150                  "
131,                      670.066                  ,                      MERLIN PROP.                  ,                                                17:38                                        ,2018-11-09,"                      11,4150                  "
132,                      981.710                  ,                      NATURGY                  ,                                                17:38                                        ,2018-11-09,"                      23,1600                  "
133,                      1.153.813                  ,                      R.E.C.                  ,                                                17:38                                        ,2018-11-09,"                      19,2800                  "
134,                      4.617.009                  ,                      REPSOL                  ,                                                17:38                                        ,2018-11-09,"                      15,8500                  "
135,                      34.958.233                  ,                      SANTANDER                  ,                                                17:38                                        ,2018-11-09,"                      4,2390                  "
136,                      2.101.874                  ,                      SIEMENS GAM                  ,                                                17:38                                        ,2018-11-09,"                      12,2400                  "
137,                      201.435                  ,                      TECNICAS REU                  ,                                                17:38                                        ,2018-11-09,"                      22,4800                  "
138,                      13.045.880                  ,                      TELEFONICA                  ,                                                17:38                                        ,2018-11-09,"                      7,4690                  "
139,                      84.760                  ,                      VISCOFAN                  ,                                                17:38                                        ,2018-11-09,"                      52,4500                  "
140,                      167.223                  ,                      ACCIONA                  ,                                                17:38                                        ,2018-11-09,"                      80,9200                  "
141,                      2.648.010                  ,                      ACERINOX                  ,                                                17:38                                        ,2018-11-09,"                      9,3640                  "
142,                      592.455                  ,                      ACS                  ,                                                17:38                                        ,2018-11-09,"                      34,7400                  "
143,                      98.386                  ,                      AENA                  ,                                                17:38                                        ,2018-11-09,"                      139,4000                  "
144,                      701.782                  ,                      AMADEUS                  ,                                                17:38                                        ,2018-11-09,"                      69,8600                  "
145,                      356.366                  ,                      ARCELORMITT.                  ,                                                17:38                                        ,2018-11-09,"                      22,2500                  "
146,                      14.541.919                  ,                      B.SABADELL                  ,                                                17:38                                        ,2018-11-09,"                      1,1860                  "
147,                      5.130.299                  ,                      BANKIA                  ,                                                17:38                                        ,2018-11-09,"                      2,9040                  "
148,                      1.202.725                  ,                      BANKINTER                  ,                                                17:38                                        ,2018-11-09,"                      7,5480                  "
149,                      66.481.144                  ,                      BBVA                  ,                                                17:38                                        ,2018-11-09,"                      4,9115                  "
150,                      12.743.333                  ,                      CAIXABANK                  ,                                                17:38                                        ,2018-11-09,"                      3,6700                  "
151,                      452.702                  ,                      CELLNEX                  ,                                                17:38                                        ,2018-11-09,"                      22,0200                  "
152,                      264.824                  ,                      CIE AUTOMOT.                  ,                                                17:38                                        ,2018-11-09,"                      23,1000                  "
153,                      10.491.283                  ,                      DIA                  ,                                                17:38                                        ,2018-11-09,"                      0,7176                  "
154,                      884.774                  ,                      ENAGAS                  ,                                                17:38                                        ,2018-11-09,"                      24,6000                  "
155,                      1.329.876                  ,                      ENDESA                  ,                                                17:38                                        ,2018-11-09,"                      19,8500                  "
156,                      996.773                  ,                      FERROVIAL                  ,                                                17:38                                        ,2018-11-09,"                      17,7950                  "
157,                      696.906                  ,                      GRIFOLS                  ,                                                17:38                                        ,2018-11-09,"                      26,1000                  "
158,                      1.376.457                  ,                      IAG                  ,                                                17:38                                        ,2018-11-09,"                      7,3800                  "
159,                      11.799.305                  ,                      IBERDROLA                  ,                                                17:38                                        ,2018-11-09,"                      6,5700                  "
160,                      2.429.298                  ,                      INDITEX                  ,                                                17:38                                        ,2018-11-09,"                      26,4200                  "
161,                      1.857.205                  ,                      INDRA A                  ,                                                17:38                                        ,2018-11-09,"                      8,5700                  "
162,                      463.327                  ,                      INM.COLONIAL                  ,                                                17:38                                        ,2018-11-09,"                      8,9100                  "
163,                      5.133.270                  ,                      MAPFRE                  ,                                                17:38                                        ,2018-11-09,"                      2,5480                  "
164,                      1.594.357                  ,                      MEDIASET                  ,                                                17:38                                        ,2018-11-09,"                      5,9420                  "
165,                      1.025.186                  ,                      MELIA HOTELS                  ,                                                17:38                                        ,2018-11-09,"                      8,3150                  "
166,                      670.066                  ,                      MERLIN PROP.                  ,                                                17:38                                        ,2018-11-09,"                      11,4150                  "
167,                      981.710                  ,                      NATURGY                  ,                                                17:38                                        ,2018-11-09,"                      23,1600                  "
168,                      1.153.813                  ,                      R.E.C.                  ,                                                17:38                                        ,2018-11-09,"                      19,2800                  "
169,                      4.617.009                  ,                      REPSOL                  ,                                                17:38                                        ,2018-11-09,"                      15,8500                  "
170,                      34.958.233                  ,                      SANTANDER                  ,                                                17:38                                        ,2018-11-09,"                      4,2390                  "
171,                      2.101.874                  ,                      SIEMENS GAM                  ,                                                17:38                                        ,2018-11-09,"                      12,2400                  "
172,                      201.435                  ,                      TECNICAS REU                  ,                                                17:38                                        ,2018-11-09,"                      22,4800                  "
173,                      13.045.880                  ,                      TELEFONICA                  ,                                                17:38                                        ,2018-11-09,"                      7,4690                  "
174,                      84.760                  ,                      VISCOFAN                  ,                                                17:38                                        ,2018-11-09,"                      52,4500                  "
175,                      167.223                  ,                      ACCIONA                  ,                                                17:38                                        ,2018-11-09,"                      80,9200                  "
176,                      2.648.010                  ,                      ACERINOX                  ,                                                17:38                                        ,2018-11-09,"                      9,3640                  "
177,                      592.455                  ,                      ACS                  ,                                                17:38                                        ,2018-11-09,"                      34,7400                  "
178,                      98.386                  ,                      AENA                  ,                                                17:38                                        ,2018-11-09,"                      139,4000                  "
179,                      701.782                  ,                      AMADEUS                  ,                                                17:38                                        ,2018-11-09,"                      69,8600                  "
180,                      356.366                  ,                      ARCELORMITT.                  ,                                                17:38                                        ,2018-11-09,"                      22,2500                  "
181,                      14.541.919                  ,                      B.SABADELL                  ,                                                17:38                                        ,2018-11-09,"                      1,1860                  "
182,                      5.130.299                  ,                      BANKIA                  ,                                                17:38                                        ,2018-11-09,"                      2,9040                  "
183,                      1.202.725                  ,                      BANKINTER                  ,                                                17:38                                        ,2018-11-09,"                      7,5480                  "
184,                      66.481.144                  ,                      BBVA                  ,                                                17:38                                        ,2018-11-09,"                      4,9115                  "
185,                      12.743.333                  ,                      CAIXABANK                  ,                                                17:38                                        ,2018-11-09,"                      3,6700                  "
186,                      452.702                  ,                      CELLNEX                  ,                                                17:38                                        ,2018-11-09,"                      22,0200                  "
187,                      264.824                  ,                      CIE AUTOMOT.                  ,                                                17:38                                        ,2018-11-09,"                      23,1000                  "
188,                      10.491.283                  ,                      DIA                  ,                                                17:38                                        ,2018-11-09,"                      0,7176                  "
189,                      884.774                  ,                      ENAGAS                  ,                                                17:38                                        ,2018-11-09,"                      24,6000                  "
190,                      1.329.876                  ,                      ENDESA                  ,                                                17:38                                        ,2018-11-09,"                      19,8500                  "
191,                      996.773                  ,                      FERROVIAL                  ,                                                17:38                                        ,2018-11-09,"                      17,7950                  "
192,                      696.906                  ,                      GRIFOLS                  ,                                                17:38                                        ,2018-11-09,"                      26,1000                  "
193,                      1.376.457                  ,                      IAG                  ,                                                17:38                                        ,2018-11-09,"                      7,3800                  "
194,                      11.799.305                  ,                      IBERDROLA                  ,                                                17:38                                        ,2018-11-09,"                      6,5700                  "
195,                      2.429.298                  ,                      INDITEX                  ,                                                17:38                                        ,2018-11-09,"                      26,4200                  "
196,                      1.857.205                  ,                      INDRA A                  ,                                                17:38                                        ,2018-11-09,"                      8,5700                  "
197,                      463.327                  ,                      INM.COLONIAL                  ,                                                17:38                                        ,2018-11-09,"                      8,9100                  "
198,                      5.133.270                  ,                      MAPFRE                  ,                                                17:38                                        ,2018-11-09,"                      2,5480                  "
199,                      1.594.357                  ,                      MEDIASET                  ,                                                17:38                                        ,2018-11-09,"                      5,9420                  "
200,                      1.025.186                  ,                      MELIA HOTELS                  ,                                                17:38                                        ,2018-11-09,"                      8,3150                  "
201,                      670.066                  ,                      MERLIN PROP.                  ,                                                17:38                                        ,2018-11-09,"                      11,4150                  "
202,                      981.710                  ,                      NATURGY                  ,                                                17:38                                        ,2018-11-09,"                      23,1600                  "
203,                      1.153.813                  ,                      R.E.C.                  ,                                                17:38                                        ,2018-11-09,"                      19,2800                  "
204,                      4.617.009                  ,                      REPSOL                  ,                                                17:38                                        ,2018-11-09,"                      15,8500                  "
205,                      34.958.233                  ,                      SANTANDER                  ,                                                17:38                                        ,2018-11-09,"                      4,2390                  "
206,                      2.101.874                  ,                      SIEMENS GAM                  ,                                                17:38                                        ,2018-11-09,"                      12,2400                  "
207,                      201.435                  ,                      TECNICAS REU                  ,                                                17:38                                        ,2018-11-09,"                      22,4800                  "
208,                      13.045.880                  ,                      TELEFONICA                  ,                                                17:38                                        ,2018-11-09,"                      7,4690                  "
209,                      84.760                  ,                      VISCOFAN                  ,                                                17:38                                        ,2018-11-09,"                      52,4500                  "
